score,gender,age,purpose,dest_hdong_cd
1.6029068274660185,여,80,업무,삼양동
1.6081182939650782,여,80,업무,미아동
1.6081182939650782,여,80,업무,송중동
1.6081182939650782,여,80,업무,송천동
1.6081182939650782,여,80,업무,삼각산동
1.4198590651420866,여,80,업무,번1동
1.4170664706429519,여,80,업무,번2동
1.4170664706429519,여,80,업무,번3동
1.4170664706429519,여,80,업무,수유1동
1.4170664706429519,여,80,업무,수유2동
1.4170664706429519,여,80,업무,수유3동
1.4170664706429519,여,80,업무,우이동
1.453118418827259,여,80,업무,인수동
1.501462755972448,여,80,업무,창제1동
1.501462755972448,여,80,업무,창제2동
1.501462755972448,여,80,업무,창제3동
1.501462755972448,여,80,업무,창제4동
1.501462755972448,여,80,업무,창제5동
1.5002066408943637,여,80,업무,도봉제1동
